E:\coinbase>python main.py
2025-12-30 18:43:27.243717+00:00 Connection Opened!
2025-12-30 21:20:43.869637+00:00 SELL:MON-USDC:13291@0.02227 => BUY:MON-USDC:13291@0.02220
2025-12-30 21:20:44.046291+00:00 SELL:MON-USDC:13291@0.02228 => BUY:MON-USDC:13291@0.02221
2025-12-30 21:20:44.214280+00:00 SELL:MON-USDC:13291@0.02232 => BUY:MON-USDC:13291@0.02225
2025-12-30 21:20:44.366556+00:00 SELL:MON-USDC:13291@0.02233 => BUY:MON-USDC:13291@0.02226
2025-12-30 21:20:44.532156+00:00 SELL:MON-USDC:13291@0.02229 => BUY:MON-USDC:13291@0.02222
2025-12-30 21:20:44.695384+00:00 SELL:MON-USDC:13291@0.02231 => BUY:MON-USDC:13291@0.02224
2025-12-30 21:20:44.851212+00:00 SELL:MON-USDC:13291@0.0223 => BUY:MON-USDC:13291@0.02223
2025-12-30 21:20:45.027357+00:00 SELL:MON-USDC:13291@0.02234 => BUY:MON-USDC:13291@0.02227
2025-12-30 21:20:45.206554+00:00 SELL:MON-USDC:13291@0.02238 => BUY:MON-USDC:13291@0.02231
2025-12-30 21:20:45.366169+00:00 SELL:MON-USDC:13291@0.02236 => BUY:MON-USDC:13291@0.02229
2025-12-30 21:20:45.543713+00:00 SELL:MON-USDC:13291@0.02235 => BUY:MON-USDC:13291@0.02228
2025-12-30 21:20:45.699349+00:00 SELL:MON-USDC:13291@0.02237 => BUY:MON-USDC:13291@0.02230
2025-12-30 21:20:45.850405+00:00 SELL:MON-USDC:13291@0.02239 => BUY:MON-USDC:13291@0.02232
2025-12-30 21:20:46.010996+00:00 SELL:MON-USDC:13291@0.0224 => BUY:MON-USDC:13291@0.02233
2025-12-30 21:20:46.182668+00:00 SELL:MON-USDC:13291@0.02243 => BUY:MON-USDC:13291@0.02236
2025-12-30 21:20:46.369172+00:00 SELL:MON-USDC:13291@0.02242 => BUY:MON-USDC:13291@0.02235
2025-12-30 21:20:46.547603+00:00 SELL:MON-USDC:13291@0.02241 => BUY:MON-USDC:13291@0.02234
2025-12-30 21:20:46.710662+00:00 SELL:MON-USDC:13291@0.02244 => BUY:MON-USDC:13291@0.02237
2025-12-30 21:20:46.879713+00:00 SELL:MON-USDC:13291@0.02245 => BUY:MON-USDC:13291@0.02238
2025-12-30 21:20:47.039739+00:00 SELL:MON-USDC:13291@0.02246 => BUY:MON-USDC:13291@0.02239
2025-12-30 21:20:47.198318+00:00 SELL:MON-USDC:13291@0.02247 => BUY:MON-USDC:13291@0.02240
2025-12-30 21:20:47.385599+00:00 SELL:MON-USDC:13291@0.02249 => BUY:MON-USDC:13291@0.02242
2025-12-30 21:20:47.601529+00:00 SELL:MON-USDC:13291@0.02248 => BUY:MON-USDC:13291@0.02241
2025-12-30 21:20:47.779307+00:00 SELL:MON-USDC:13291@0.0225 => BUY:MON-USDC:13291@0.02243
2025-12-30 21:20:47.942280+00:00 SELL:MON-USDC:13291@0.02251 => BUY:MON-USDC:13291@0.02244
2025-12-30 21:20:48.105982+00:00 SELL:MON-USDC:13291@0.02252 => BUY:MON-USDC:13291@0.02245
2025-12-30 21:20:48.272853+00:00 SELL:MON-USDC:13291@0.02253 => BUY:MON-USDC:13291@0.02246
2025-12-30 21:20:48.439222+00:00 SELL:MON-USDC:13291@0.02254 => BUY:MON-USDC:13291@0.02247
2025-12-30 21:20:48.602415+00:00 SELL:MON-USDC:13291@0.02255 => BUY:MON-USDC:13291@0.02248
2025-12-30 21:20:48.767271+00:00 SELL:MON-USDC:13291@0.02256 => BUY:MON-USDC:13291@0.02249
2025-12-30 21:20:48.925896+00:00 SELL:MON-USDC:13291@0.02257 => BUY:MON-USDC:13291@0.02250
2025-12-30 21:21:12.625314+00:00 BUY:MON-USDC:13291@0.0225 => SELL:MON-USDC:13291@0.02272
2025-12-30 21:21:39.635201+00:00 BUY:MON-USDC:13291@0.02249 => SELL:MON-USDC:13291@0.02271
2025-12-30 21:21:39.806279+00:00 BUY:MON-USDC:13291@0.02248 => SELL:MON-USDC:13291@0.02270
2025-12-30 21:21:41.910970+00:00 BUY:MON-USDC:13291@0.02247 => SELL:MON-USDC:13291@0.02269
2025-12-30 21:29:07.411245+00:00 BUY:MON-USDC:13291@0.02245 => SELL:MON-USDC:13291@0.02267
2025-12-30 21:29:07.573062+00:00 BUY:MON-USDC:13291@0.02246 => SELL:MON-USDC:13291@0.02268
2025-12-30 21:29:07.763506+00:00 BUY:MON-USDC:13291@0.02243 => SELL:MON-USDC:13291@0.02265
2025-12-30 21:29:07.925033+00:00 BUY:MON-USDC:13291@0.02244 => SELL:MON-USDC:13291@0.02266
2025-12-30 21:29:08.069852+00:00 BUY:MON-USDC:13291@0.02242 => SELL:MON-USDC:13291@0.02264
2025-12-30 21:29:08.247332+00:00 BUY:MON-USDC:13291@0.02241 => SELL:MON-USDC:13291@0.02263
2025-12-30 21:29:08.415139+00:00 BUY:MON-USDC:13291@0.0224 => SELL:MON-USDC:13291@0.02262
2025-12-30 21:29:08.582584+00:00 BUY:MON-USDC:13291@0.02239 => SELL:MON-USDC:13291@0.02261
2025-12-30 21:29:28.894661+00:00 BUY:MON-USDC:13291@0.02238 => SELL:MON-USDC:13291@0.02260
2025-12-30 21:29:29.610789+00:00 BUY:MON-USDC:13291@0.02237 => SELL:MON-USDC:13291@0.02259
2025-12-30 21:29:29.796137+00:00 BUY:MON-USDC:13291@0.02236 => SELL:MON-USDC:13291@0.02258
2025-12-30 21:29:30.010946+00:00 BUY:MON-USDC:13291@0.02235 => SELL:MON-USDC:13291@0.02257
2025-12-30 21:32:52.382090+00:00 BUY:MON-USDC:13291@0.02234 => SELL:MON-USDC:13291@0.02256
2025-12-30 21:32:52.538471+00:00 BUY:MON-USDC:13291@0.02233 => SELL:MON-USDC:13291@0.02255
2025-12-30 21:32:52.716451+00:00 BUY:MON-USDC:13291@0.02232 => SELL:MON-USDC:13291@0.02254
2025-12-30 21:34:36.605343+00:00 SELL:MON-USDC:13291@0.02254 => BUY:MON-USDC:13291@0.02247
2025-12-30 21:34:36.855526+00:00 SELL:MON-USDC:13291@0.02255 => BUY:MON-USDC:13291@0.02248
2025-12-30 21:34:46.881269+00:00 SELL:MON-USDC:13291@0.02256 => BUY:MON-USDC:13291@0.02249
2025-12-30 21:34:47.050101+00:00 SELL:MON-USDC:13291@0.02257 => BUY:MON-USDC:13291@0.02250
2025-12-30 21:34:48.615600+00:00 SELL:MON-USDC:13291@0.02258 => BUY:MON-USDC:13291@0.02251
2025-12-30 21:34:51.624225+00:00 SELL:MON-USDC:13291@0.02259 => BUY:MON-USDC:13291@0.02252
2025-12-30 21:35:15.622397+00:00 SELL:MON-USDC:13291@0.0226 => BUY:MON-USDC:13291@0.02253
2025-12-30 21:35:27.356506+00:00 SELL:MON-USDC:13291@0.02261 => BUY:MON-USDC:13291@0.02254
2025-12-30 21:35:27.528749+00:00 SELL:MON-USDC:13291@0.02262 => BUY:MON-USDC:13291@0.02255
2025-12-30 21:35:27.675788+00:00 SELL:MON-USDC:13291@0.02264 => BUY:MON-USDC:13291@0.02257
2025-12-30 21:35:27.861912+00:00 SELL:MON-USDC:13291@0.02266 => BUY:MON-USDC:13291@0.02259
2025-12-30 21:35:28.034851+00:00 SELL:MON-USDC:13291@0.02265 => BUY:MON-USDC:13291@0.02258
2025-12-30 21:35:28.198389+00:00 SELL:MON-USDC:13291@0.02263 => BUY:MON-USDC:13291@0.02256
2025-12-30 21:35:54.620122+00:00 BUY:MON-USDC:13291@0.02259 => SELL:MON-USDC:13291@0.02282
2025-12-30 21:35:56.592334+00:00 BUY:MON-USDC:13291@0.02258 => SELL:MON-USDC:13291@0.02281
2025-12-30 21:35:57.385424+00:00 BUY:MON-USDC:13291@0.02257 => SELL:MON-USDC:13291@0.02280
2025-12-30 21:36:02.117737+00:00 BUY:MON-USDC:13291@0.02256 => SELL:MON-USDC:13291@0.02279
2025-12-30 21:36:34.609710+00:00 BUY:MON-USDC:13291@0.02255 => SELL:MON-USDC:13291@0.02278
2025-12-30 21:36:37.837407+00:00 BUY:MON-USDC:13291@0.02254 => SELL:MON-USDC:13291@0.02277
2025-12-30 21:36:38.855801+00:00 BUY:MON-USDC:13291@0.02253 => SELL:MON-USDC:13291@0.02276
2025-12-30 21:36:39.038501+00:00 BUY:MON-USDC:13291@0.02252 => SELL:MON-USDC:13291@0.02275
2025-12-30 21:36:40.838311+00:00 BUY:MON-USDC:13291@0.02251 => SELL:MON-USDC:13291@0.02274
2025-12-30 21:36:58.862540+00:00 BUY:MON-USDC:13291@0.0225 => SELL:MON-USDC:13291@0.02272
2025-12-30 21:36:59.033486+00:00 BUY:MON-USDC:13291@0.02249 => SELL:MON-USDC:13291@0.02271
